,program_name,input_ports,output_ports
10,update_scientificName.cwl,"[('original_scientificName', 'check_empty_value/original_scientificName'), ('matching_local_authority_source_record', 'find_matching_local_authority_source_record/matching_local_authority_source_record')]",['updated_scientificName']
11,update_authorship.cwl,"[('matching_local_authority_source_record', 'find_matching_local_authority_source_record/matching_local_authority_source_record'), ('original_authorship', 'read_input1_data_records/original_authorship')]",['updated_authorship']
12,log_updated_record.cwl,"[('updated_scientificName', 'update_scientificName/updated_scientificName'), ('updated_authorship', 'update_authorship/updated_authorship'), ('original_authorship', 'read_input1_data_records/original_authorship'), ('original_scientificName', 'check_empty_value/original_scientificName')]",['name_val_log']
13,log_accepted_record.cwl,"[('RecordID', 'read_input1_data_records/RecordID'), ('final_result', 'find_matching_local_authority_source_record/final_result'), ('original_scientificName', 'check_empty_value/original_scientificName')]","['accepted_record_count', 'name_val_log']"
14,write_output1_data.cwl,"[('original_others', 'read_input1_data_records/original_others'), ('original_scientificName', 'check_empty_value/original_scientificName'), ('original_scientificName', 'check_empty_value/original_scientificName'), ('original_authorship', 'read_input1_data_records/original_authorship'), ('updated_scientificName', 'update_scientificName/updated_scientificName'), ('updated_authorship', 'update_authorship/updated_authorship')]",['output1_data']
15,log_summary.cwl,"[('accepted_record_count', 'log_accepted_record/accepted_record_count'), ('rejected_record_count', 'log_rejected_unmatching_record/rejected_record_count')]",['name_val_log']
2,validate_scientificName_field_of_data,"['local_authority_source', 'input1_data']","[('output1_data', 'Not in ports list/output1_data'), ('name_val_log', 'Not in ports list/name_val_log'), ('record_id_data', 'Not in ports list/record_id_data')]"
3,initialize_run.cwl,[],[]
4,read_scientificName.cwl,"[('local_authority_source', 'local_authority_source')]",['local_authority_source_scientificName_lst']
5,read_input1_data_records.cwl,"[('input1_data', 'input1_data')]","['original_scientificName', 'original_authorship', 'RecordID', 'original_others', 'record_id_data', 'name_val_log']"
6,check_empty_value.cwl,"[('original_scientificName', 'read_input1_data_records/original_scientificName')]","['check_result', 'original_scientificName', 'original_scientificName', 'name_val_log']"
7,log_rejected_record.cwl,"[('RecordID', 'read_input1_data_records/RecordID'), ('original_scientificName', 'check_empty_value/original_scientificName'), ('check_result', 'check_empty_value/check_result')]","['final_result', 'rejected_record_count', 'name_val_log']"
8,find_matching_local_authority_source_record.cwl,"[('original_scientificName', 'check_empty_value/original_scientificName'), ('local_authority_source_scientificName_lst', 'read_scientificName/local_authority_source_scientificName_lst')]","['match_result', 'matching_local_authority_source_record', 'matching_local_authority_source_record', 'matching_local_authority_source_record', 'final_result', 'matching_method', 'name_val_log']"
9,log_rejected_unmatching_record.cwl,"[('RecordID', 'read_input1_data_records/RecordID'), ('original_scientificName', 'check_empty_value/original_scientificName'), ('matching_local_authority_source_record', 'find_matching_local_authority_source_record/matching_local_authority_source_record')]","['rejected_record_count', 'name_val_log']"
