,program_name,input_ports,output_ports
1,paleocar_models,"[('prediction_years', 'prediction_years'), ('prism_data_for_coordinates', 'prism_data_for_coordinates'), ('itrdb', 'itrdb'), ('calibration_years', 'calibration_years'), ('min_width', 'min_width'), ('verbose', 'verbose')]","[('paleocar_models', 'optimizeModels/paleocar_models')]"
10,simplifyLinearModels.cwl,"[('coefficients', 'calculateLinearModels/coefficients'), ('model_errors', 'calculateLinearModels/model_errors')]",['final_models']
11,optimizeModels.cwl,"[('linear_models', 'calculate_Models/linear_models')]",['paleocar_models']
2,print_message.cwl,"[('verbose', 'verbose')]",[]
3,get_predictor_matrix.cwl,"[('itrdb', 'itrdb'), ('calibration_years', 'calibration_years'), ('min_width', 'min_width')]","['predictor_matrix', 'max_preds']"
4,get_reconstruction_matrix.cwl,"[('itrdb', 'itrdb'), ('prediction_years', 'prediction_years'), ('min_width', 'min_width')]",['reconstruction_matrix']
5,get_predlist.cwl,"[('reconstruction_matrix', 'get_reconstruction_matrix/reconstruction_matrix')]",['predlist']
6,get_carscores.cwl,"[('prism_data_for_coordinates', 'prism_data_for_coordinates'), ('predictor_matrix', 'get_predictor_matrix/predictor_matrix')]",['carscores']
7,wf_calculate_Models.cwl,"[('predlist', 'get_predlist/predlist'), ('carscores', 'get_carscores/carscores'), ('max_preds', 'get_predictor_matrix/max_preds')]",['linear_models']
8,defineLinearModels.cwl,"[('predlist', 'predlist'), ('carscores', 'carscores'), ('max_preds', 'max_preds')]","['models', 'matches']"
9,calculateLinearModels.cwl,"[('models', 'defineLinearModels/models'), ('matches', 'defineLinearModels/matches')]","['coefficients', 'model_errors']"
